Main Title,Person-A,# Person-A,Org-A,Loc-A,Person-N,# Person-N,Org-N,Loc-N,Gpe-N,Person-S,# Person-S,Org-S,Loc-S
"Group portrait, left to right front row, Joycelyn Johnson, Mary Lou Brown, winner of the luggage set, and Dessie Tolbert holding piece of luggage. Back row, Roberta Tyler, Barbara Yancey, Justine Givener, and Geraldine Galloway, standing in Loendi Club, another version", , , , ,"Joycelyn Johnson, Mary Lou Brown, Dessie Tolbert",3,,,Group,"Joycelyn Johnson, Mary Lou Brown, Dessie Tolbert, Roberta Tyler, Barbara Yancey, Justine Givener, Geraldine Galloway",7,,Loendi Club
"Groom Marion White and bride Magnolia Smith White, posed in home of bride, 611 Larimer Avenue", , , , ,"Groom, Marion White, Magnolia Smith White",3,,,,"Groom Marion White, Magnolia Smith White",2,,
"Rev. Brannon Hopson wearing dark suit and eyeglasses, standing at podium and presenting envelope to man, for Allegheny Union Baptist Association event, in Mt. Calvary Missionary Baptist Church, New Kensington", , , , ,,0,,,,Brannon Hopson,1,"Allegheny Union Baptist Association, Calvary Missionary Baptist Church","Mt, New Kensington"
"Four women standing outside of Mt. Calvary Missionary Baptist Church, for Allegheny Union Baptist Association event, New Kensington", , , , ,,0,,,Mt,,0,"Calvary Missionary Baptist Church, Allegheny Union Baptist Association",New Kensington
"Men and women seated at numbered banquet tables, including #29 and #50 in foreground, in Hilton Hotel for Foreign Policy Association symposium", , , , ,,0,Foreign Policy Association,,"Men, Hilton Hotel",,0,Hilton Hotel for Foreign Policy Association,
"Group portrait of Prince Hall Shriner members, from left, seated: Waynard H. Jones, M.C. Martin, Atty. Genoa S. Washington, Thomas F. Poag, and Booker T. Alexander; standing: Henry M. Baysmore, Harry J. Keen, Marshall S. Johnson, and John R. Bradford, gathered around table planning convention in Penn Sheraton Hotel", , , , ,Waynard H. Jones,1,,,"Group, Prince","Waynard H. Jones, Martin, Genoa S. Washington, Thomas F. Poag, Booker T. Alexander, Henry M. Baysmore, Harry J, Marshall S. Johnson, John R. Bradford",9,Penn Sheraton Hotel,"Prince Hall Shriner, M.C"
"Rev. A. E. Harris, Ora Sims, Rev. Leroy Patrick, Jessie Vann, and William Howell, seated behind folding table in Bethesda United Presbyterian Church during seventh annual beautiful yard awards program", , , , ,,0,,,,"A. E. Harris, Ora Sims, Leroy Patrick, Jessie Vann, William Howell",5,,Bethesda United Presbyterian Church
"Group portrait of Western Pennsylvania Research and Historical Society committee, from left, seated: Eloise Thompson, Mrs. W. Roderick Brown, Samuel Golden, and Mrs. John W. Wilson; standing: John W. Wilson and Walter Worthington, gathered around table with documents, in church, with image of The Last Supper on wall in background", , , , ,"Eloise Thompson, Roderick Brown, Samuel Golden, John W. Wilson, John W. Wilson, Walter Worthington",6,Historical Society,Western Pennsylvania,Group,"Eloise Thompson, W. Roderick Brown, Samuel Golden, John W. Wilson, John W. Wilson, Walter Worthington",6,Western Pennsylvania Research and Historical Society,
"Group portrait of Home Makers Guild members, from left, seated: Sarah Morse; front row: Leona Edwards, Ethel Jackson, Florence Burrell, Rev. C. A. Burell, Sadye Wilborn, Edith Johnson, and Edan Jones; rear: Maggie Blackwell, Violet Johnson, Zula Thomas, and Edna Avery, posed in Mt. Ararat Baptist Church, another version", , , , ,"Sarah Morse, Leona Edwards, Ethel Jackson, Florence Burrell, Rev",5,,,Group,"Sarah Morse, Leona Edwards, Ethel Jackson, Florence Burrell, C. A. Burell, Sadye Wilborn, Edith Johnson, Edan Jones, Maggie Blackwell, Violet Johnson, Zula Thomas, Edna Avery",12,Home Makers Guild,
"Members of Hallie Q. Brown chapter of Harriet Tubman Guild, Inc., seated from left: Eula Calloway, Margaret Bartlett, Eula Parks, Mrs. Quash, Dorothy Harris; standing: Mrs. Blakey, Dolly Warden, Louise Smith, Marie Charles, Julia Stevenson, Maggie Lewis, Elaine Miller, Ruth Butler, Mary Sheppard, Tidy Wilson, Rose Dukes, and Emma Green, posed behind table in Greene Hearth", , , , ,Hallie Q,1,,,,"Brown, Eula Calloway, Margaret Bartlett, Eula Parks, Dorothy Harris, Blakey, Dolly Warden, Louise Smith, Marie Charles, Julia Stevenson, Maggie Lewis, Elaine Miller, Ruth Butler, Mary Sheppard, Tidy Wilson, Rose Dukes, Emma Green",17,"Harriet Tubman Guild , Inc.",Greene Hearth
"Group portrait of Maude Jones, Christine Hunt, and Marie Harris, posed outside of Mt. Carmel Baptist Church for Fourth Annual Garden Party and Fashion Show, North Versailles", , , , ,"Maude Jones, Christine Hunt, Marie Harris",3,,,"Group, Mt","Maude Jones, Christine Hunt, Marie Harris",3,Carmel Baptist Church for Fourth Annual Garden Party,North Versailles
"Portrait of groom Howard U. Prentiss, fourth on left, and bride Toni Howell Prentiss, standing with wedding party including Marilyn Lee, Shelia Howell, Gloria Toogood, and Sarah Boyd; William Toogood, Sonny Williams, Muncey Williams, and Barney Pettigrew, standing in yard with wooden fence at home of Mr. and Mrs. Jack Howell, another version", , , , ,"Howard U. Prentiss, Toni Howell Prentiss, Marilyn Lee, Shelia Howell, Gloria Toogood, Sarah Boyd, William Toogood, Sonny Williams, Muncey Williams, Barney Pettigrew, Mr., Jack Howell",12,,,Portrait,"Howard U. Prentiss, Toni Howell Prentiss, Marilyn Lee, Shelia Howell, Gloria Toogood, Sarah Boyd, William Toogood, Sonny Williams, Muncey Williams, Barney Pettigrew, Jack Howell",11,,
"Members of Lemuel Chapter 16 OES PHA Masons, seated: Mrs. Johnson, Mrs. M. Budd, Mrs. R. Mitchell, Mrs. Z. B. Stevenson, Mrs. H. Gloster, Mrs. E. Patterson, Mrs. J. Thompson, Mrs. S. Taylor; standing: Jefferson Johnson, Sylvester Squaires, Hampton Jeter Jr., and Stonewall Lett, in interior with piano and clock on wall reading 9:35", , , , ,"Lemuel, Johnson",2,OES,,,"Lemuel Chapter, Johnson, M. Budd, R. Mitchell, B. Stevenson, H. Gloster, E. Patterson, J. Thompson, S. Taylor, Jefferson Johnson, Sylvester Squaires, Hampton Jeter Jr., Stonewall Lett",13,OES PHA Masons,
"Group portrait of wedding party with five men, including groom Frank Henderson, best man Roy Henderson, Mac Henderson, and Bill McKinney, four women, including bride Eloise Jean Carter Henderson wearing gown with lace overlay, necklace of two strands of pearls or beads, and long lace veil, matron of honor Elsa Elliott Harris, Shirley Henderson, and Dorothy Vinson, and girl, posed in Sixth Mount Zion Baptist Church, with ""River Jordan"" inscribed above long landscape mural", , , , ,"Frank Henderson, Roy Henderson, Mac Henderson, Bill McKinney, Eloise Jean Carter Henderson, Elsa Elliott Harris, Shirley Henderson, Dorothy Vinson, Baptist Church",9,,,"Group, Sixth","Frank Henderson, Roy Henderson, Mac Henderson, Bill McKinney, Eloise Jean Carter Henderson, Elsa Elliott Harris, Shirley Henderson, Dorothy Vinson",8,,Sixth Mount Zion Baptist Church
"Portrait of baby Robert Chalmers Morse wearing light colored christening gown with ruffle and rounded collar, seated with both hands on knees, on leaf patterned sofa, possibly in home at 7435 Tioga Street", , , , ,Robert Chalmers,1,,,Portrait,Robert Chalmers Morse,1,,Tioga Street
"William Stewart Amoco service station with pennant banners and grand opening signs, Herron and Webster Avenues, Hill District", , , , ,"William, Stewart Amoco, Herron, Webster Avenues, Hill District",5,,,,"William Stewart Amoco, Herron, Hill District",3,,
"Interior with bedroom on right, and bathroom with stalls on left, in Harriet Tubman Terrace House, 7921 Frankstown Avenue", , , , ,Terrace House,1,Interior,,Harriet,,0,,"Harriet Tubman Terrace House, Frankstown Avenue"
"Crystal Harris wearing plaid jumper with light colored short sleeved blouse, posed behind table with paper and pencil, in Harris home, 7604 Mulford Street", , , , ,"Crystal, Harris",2,,,Harris,Crystal Harris,1,,"Harris, Mulford Street"
"Actors, including Alter Howard, Wilson Hill, Walter or Maltee Gober, Dorothy Marshall, Robert Watkins, George Marshall, John Watkins, and Leroy Walker, performing in gospel opera ""Thy Word! Lamp of Light,"" in Central Baptist Church", , , , ,"Alter Howard, Wilson Hill, Walter, Maltee Gober, Dorothy Marshall, Robert Watkins, George Marshall, John Watkins, Leroy Walker, Thy Word",10,,,,"Howard, Wilson Hill, Walter, Maltee Gober, Dorothy Marshall, Robert Watkins, George Marshall, John Watkins, Leroy Walker",9,,
"Bride Amanda Bussey Henderson wearing satin gown with lace train, long lace sleeves, and lace yoke with satin edge, holding bouquet of lilies, posed in home of Mr. and Mrs. James Bussey, Singer Place", , , , ,"Amanda Bussey Henderson, Mr., James Bussey, Singer Place",4,,,Bride,"Amanda Bussey Henderson, James Bussey",2,,
Groom Jesse T. Henderson Jr. and bride Amanda Bussey Henderson seated in automobile, , , , ,"Groom, Jesse T. Henderson, Amanda Bussey Henderson",3,,,,"Jesse T. Henderson Jr., Amanda Bussey Henderson",2,,
"Bride Geraldine Wright wearing lace and tulle wedding gown, and groom Leonard Wright posed under trellis at Hunt Armory for wedding during the third annual Pittsburgh Courier Home Service Fair", , , , ,"Geraldine Wright, Leonard Wright",2,"Hunt Armory, Pittsburgh Courier Home Service Fair",,Bride,"Geraldine Wright, Leonard Wright",2,,Pittsburgh
"Two frames: Portrait of Rhonda Gail Lloyd, daughter of Mr. and Mrs. Ronald Lloyd, wearing light colored outfit with ruffle, seated with raised left arm on floral and diamond patterned chair in home on 7604 Hamilton Avenue; Portrait of child wearing light colored overalls and short braids, seated on floral and diamond patterned chair in home of Mr. and Mrs. Ronald Lloyd on 7604 Hamilton Avenue", , , , ,"Rhonda Gail Lloyd, Mr., Ronald Lloyd, Hamilton Avenue, Mr., Ronald Lloyd, Hamilton Avenue",7,,,Portrait,"Rhonda Gail Lloyd, Ronald Lloyd, Ronald Lloyd",3,,"Hamilton Avenue, Hamilton Avenue"
"Iota sorority pledges, seated from left: Geraldyne Johnson, Loretta Johnson, Allean Bridges; second row: Jo Ann Tucker, Delores Jackson, Phyllis Harper, Delores Parker, Jo Anne Neal; third row: Genevieve Finch, Mary Lou Brooks, Shirley Calhoun and Barbara Briggs posed in domestic interior with television and french doors", , , , ,"Geraldyne Johnson, Loretta Johnson, Allean Bridges, Ann Tucker, Delores Jackson, Phyllis Harper, Delores Parker, Jo Anne Neal, Genevieve Finch, Mary Lou Brooks, Shirley Calhoun, Barbara Briggs",12,,,Iota,"Geraldyne Johnson, Loretta Johnson, Jo Ann Tucker, Delores Jackson, Phyllis Harper, Delores Parker, Jo Anne Neal, Genevieve Finch, Mary Lou Brooks, Shirley Calhoun, Barbara Briggs",11,,Allean Bridges
"Full length portrait of two women, including bride Betty Harris Gaskins, and two men, including groom Tommy Gaskins, in Harris Studio", , , , ,"Betty Harris Gaskins, Tommy Gaskins",2,,,"Full, Harris","Betty Harris Gaskins, Tommy Gaskins",2,,Harris Studio
"Full length portrait of two women, including bride Betty Harris Gaskins, and two men, including groom Tommy Gaskins, in Harris Studio, another version", , , , ,"Betty Harris Gaskins, Tommy Gaskins",2,,,"Full, Harris Studio","Betty Harris Gaskins, Tommy Gaskins",2,,Harris Studio
"Bride Betty Harris Gaskins, and groom Tommy Gaskins walking out of brick building, street number 351, with George Harris on right", , , , ,"Betty Harris Gaskins, Tommy Gaskins, George Harris",3,,,Bride,"Betty Harris Gaskins, Tommy Gaskins, George Harris",3,,
"Group portrait of wedding party with two men, including best man Dr. Ronald Williams, groom Dr. Peter Charles Murrell wearing pinstriped suit, and two women, including maid of honor Jane Greenlee, and bride Eva Ruth Greenlee Murrell wearing orchid colored dress with scalloped detail, dark fingerless gloves, and feather hat, standing in Greenlee home on Bryn Mawr Road, horizontal format", , , , ,"Ronald Williams, Peter Charles Murrell, Jane Greenlee, Eva Ruth Greenlee Murrell, Bryn Mawr Road",5,,,"Group, Greenlee","Ronald Williams, Peter Charles Murrell, Jane Greenlee, Eva Ruth Greenlee Murrell",4,,"Greenlee, Bryn Mawr Road"
"Group portrait of Edwards - Robinson wedding party, from left: Bernice Swann, Earl Johnson, Ardeth Swann, best man John Owens, groom Charles Henry Robinson, wife Dorothy Swann Edwards Robinson, maid of honor Jean Swann, R.R. Swann, and Frances Swann, posed in domestic interior with landscape vignette wallpaper, another version", , , , ,"Robinson, Earl Johnson, Ardeth Swann, John Owens, Charles Henry Robinson, Dorothy Swann Edwards Robinson, Jean Swann",7,,,"Group, Edwards","Bernice Swann, Earl Johnson, Ardeth Swann, John Owens, Charles Henry Robinson, Dorothy Swann Edwards Robinson, Jean Swann, Swann, Frances Swann",9,Edwards - Robinson,R.R
"Group portrait of wedding party, from left: Floyd Coles, Carl Robinson, Barbara Biggs, Edna Anderson, best man Robert Lee, groom Alvin Richardson wearing tails, bride Bernice Cathie Richardson wearing gown with long lace trimmed train spread before her, Elmer Haymen, maid of honor Delores Johnson, Esther Haymen, and Geraldine Young, posed in front of crushed velvet curtain in domestic interior", , , , ,"Floyd Coles, Carl Robinson, Barbara Biggs, Edna Anderson, Robert Lee, Alvin Richardson, Elmer Haymen, Delores Johnson, Esther Haymen, Geraldine Young",10,Bernice Cathie Richardson,,Group,"Floyd Coles, Carl Robinson, Barbara Biggs, Edna Anderson, Robert Lee, Alvin Richardson, Bernice Cathie Richardson, Elmer Haymen, Delores Johnson, Esther Haymen, Geraldine Young",11,,
"Group surrounding groom Rossie Jackson and bride Ila Richardson cutting wedding cake in home of Little Bush, Dinwiddie Street, Hill District", , , , ,"Rossie Jackson, Ila Richardson, Dinwiddie Street, Hill District",4,,,Little Bush,"Rossie Jackson, Ila Richardson, Hill District",3,,"Little Bush, Dinwiddie Street"
"Groom John Carter Robinson Jr. and bride Rosemary Manns surrounded by wedding party including Nadine Frye, Ardella Lewis, Doris Corsey, Lillian Kyle, William Douglas, Edward Stewart, Frederick Gray and another man posed in Mills home, Monticello Street", , , , ,"Groom, John Carter Robinson, Rosemary Manns, Nadine Frye, Ardella Lewis, Doris Corsey, Lillian Kyle, William Douglas, Edward Stewart, Frederick Gray, Monticello Street",11,,,Mills,"Groom John Carter Robinson Jr., Rosemary Manns, Nadine Frye, Ardella Lewis, Doris Corsey, Lillian Kyle, William Douglas, Edward Stewart, Frederick Gray",9,,"Mills, Monticello Street"
"Groom Wilbert Hawkins and bride Virginia Sumlin Hawkins posed with wedding party, including best man William Redman, matron of honor Gloria Lane, and bridesmaids Dorothy Greenlee and Marion Powell posed in front of dark curtain", , , , ,"Groom, Wilbert Hawkins, William Redman, Gloria Lane, Dorothy Greenlee, Marion Powell",6,Virginia Sumlin Hawkins,,,"Groom Wilbert Hawkins, Virginia Sumlin Hawkins, William Redman, Gloria Lane, Dorothy Greenlee, Marion Powell",6,,
"Bride Mary Frances Walker Stokers wearing gown with sweetheart neckline, and groom Theodore E. Stokes wearing military uniform, posed in domestic interior with ornate mirror", , , , ,Mary Frances Walker,1,,,Bride,"Mary Frances Walker Stokers, Theodore E. Stokes",2,,
"Group portrait of wedding party, front row from left: Mrs. Earlee Thomas, bride Mary Frances Walker Stokes, groom Theodore E. Stokes, James Stokes, Joshua Walker; back row: Ruth Young, Shirley Butler, Richard Truman, Ollie Matthew, and Rev. Charles Foggie, posed in domestic interior with ornate mirror", , , , ,"Earlee Thomas, Mary Frances Walker Stokes, James Stokes, Joshua Walker, Ruth Young, Shirley Butler, Richard Truman, Ollie Matthew",8,,,Group,"Earlee Thomas, Mary Frances Walker Stokes, Theodore E. Stokes, James Stokes, Joshua Walker, Ruth Young, Shirley Butler, Richard Truman, Ollie Matthew, Charles Foggie",10,,
"Joseph Diesner and Marie Diesner posed in front of Plymouth DeLuxe car, surrounded by baskets of flowers, with New Diamond Market and Winter's Bakery in background, another version", , , , ,"Joseph, Marie Diesner, Diamond Market, Winter",4,"Diesner, Plymouth",,New,"Joseph Diesner, Marie Diesner",2,"Plymouth DeLuxe, New Diamond Market",
"Portrait of Frances Peterson, wearing sleeveless light colored blouse with string bow at neckline, pleated plaid skirt, and wide dark belt, posed in front of light colored background in Harris Studio, for Hill City Queen contest", , , , ,"Frances Peterson, Hill City Queen",2,,,"Portrait, Harris Studio",Frances Peterson,1,,"Harris Studio, Hill City"
"Portrait of Patricia Ann Garner, winner of baby contest sponsored by Carter Chapel AME Church posed with doll covered in dollar bills, Harris Studio, another version", , , , ,"Patricia Ann Garner, Carter Chapel, Church, Harris Studio",4,,,Portrait,Patricia Ann Garner,1,"Carter Chapel AME Church, Harris Studio",
"George Mason, David Washington, Jessie Vann, Mrs. McKinley King receiving gift of appreciation, and Daisy Lampkin, during annual Alpha Phi Alpha picnic, North Park", , , , ,"George, David Washington, Jessie Vann, Daisy Lampkin",4,,,"Mason, North Park","George Mason, David Washington, Jessie Vann, McKinley King, Daisy Lampkin",5,,"Alpha Phi Alpha, North Park"
"Pomtons Club members, including La Vera Edwards, Delores Canway, Jean Cage, Mangie Gupton, sponsor Dorothy Reed, Lavenia Jackson, Bertha Richardson, Doris Harper, Dorothy Clark, Irene Owens, Helen Davis, Rose Marie Walls, and Elizabeth Britton, gathered for party at Butlers' Club, 500 Maryland Avenue, Shadyside", , , , ,"La Vera Edwards, Delores Canway, Jean Cage, Mangie Gupton, Dorothy Reed, Lavenia Jackson, Bertha Richardson, Doris Harper, Dorothy Clark, Irene Owens, Helen Davis, Rose Marie Walls, Elizabeth Britton, Club, Shadyside",15,"Club, Butlers, Maryland Avenue",,,"La Vera Edwards, Delores Canway, Jean Cage, Mangie Gupton, Dorothy Reed, Lavenia Jackson, Bertha Richardson, Doris Harper, Dorothy Clark, Irene Owens, Helen Davis, Rose Marie Walls, Elizabeth Britton",13,"Pomtons Club, Butlers ' Club","Maryland Avenue, Shadyside"
"Herron Hill Junior High School principal John H. Morgart presenting awards to students, on stage in Herron Hill Junior High School with sponge painted backdrop with trees", , , , ,"Herron, Hill Junior High School, John H. Morgart, Herron Hill Junior High School",4,,,,John H. Morgart,1,"Herron Hill Junior High School, Herron Hill Junior High School",
"Group portrait of two women wearing one piece bathing suits with floral fronts and dark backs, six men seated on either side, posed on low diving board of Ammon recreation center swimming pool", , , , ,,0,,,"Group, Ammon",Ammon,1,,
"Portrait of Mary Drew, wearing striped two piece bathing suit, leaning against ladder of Ammon Recreation Center swimming pool", , , , ,"Mary Drew, Ammon Recreation Center",2,,,Portrait,Mary Drew,1,Ammon Recreation Center,
"Group of teenagers, including Robert ""Sonny"" Kilgore seated in center, in home of Charles P. Pernell, Bryn Mawr Road, Upper Hill District", , , , ,"Robert, Kilgore, Charles P. Pernell, Bryn Mawr Road, Upper Hill District",5,,,,"Robert, Kilgore, Charles P. Pernell",3,,"Bryn Mawr Road, Upper Hill District"
"Group portrait, from left: Kathleen Bryant, L. T. Wilson, Helen Davis, Rebecca McDaniel, Harold Penn, guest of honor Alvin Richardson, Bernice Cathie, Carl Robinson, Edward Stewart, Bill Strawder, Allie Strawder, Robert Lee, and James Royal, gathered for birthday party in Richardson home, Race Street", , , , ,"Kathleen Bryant, Wilson, Helen Davis, Rebecca McDaniel, Harold Penn, Alvin Richardson, Bernice Cathie, Carl Robinson, Edward Stewart, Bill Strawder, Allie Strawder, Robert Lee, James Royal, Race Street",14,,,"Group, Richardson","Kathleen Bryant, L. T. Wilson, Helen Davis, Rebecca McDaniel, Harold Penn, Alvin Richardson, Bernice Cathie, Carl Robinson, Edward Stewart, Bill Strawder, Allie Strawder, Robert Lee, James Royal, Richardson",14,,
"Nurse Bette Bournique taking height and weight of classmates Rosemary Bilik, Rosemary Bertinotti, and Anna Jane Bayer, posed in Mercy Hospital", , , , ,"Nurse, Bette Bournique, Rosemary Bilik, Rosemary Bertinotti, Anna Jane Bayer",5,Hospital,,Mercy,"Bette Bournique, Rosemary Bilik, Rosemary Bertinotti, Anna Jane Bayer",4,,Mercy Hospital
"Dianne Dixon, Maxine Smith, Melvin Dixon, Rufus Cromartie Jr., Joanne Smith, and Elmer Jessup Jr. surrounding Bernadette Cromartie behind birthday cake with two candles, for her second birthday party, in home of Eula Jessup", , , , ,"Dianne, Maxine Smith, Melvin Dixon, Rufus Cromartie Jr., Joanne Smith, Elmer Jessup, Bernadette Cromartie, Eula Jessup",8,,,Dixon,"Dianne Dixon, Maxine Smith, Melvin Dixon, Rufus Cromartie Jr., Joanne Smith, Elmer Jessup Jr., Bernadette Cromartie, Eula Jessup",8,,
"Group of boys, girls, men, and women, including nurse, standing on wooden dock, including group of boys on left and group of girls on right seated on dock, at Camp Weldon Johnson, Beaver County, Pennsylvania", , , , ,"Johnson, Beaver County",2,,,Pennsylvania,,0,,"Camp Weldon Johnson, Beaver County, Pennsylvania"
"Mrs. E. C. English, Mrs. Ralph Houston, Irv Griffin, and Helen Duncan gathered around newspaper, in Pittsburgh Courier Newspaper printing plant", , , , ,"Ralph Houston, Irv Griffin, Helen Duncan",3,,,Pittsburgh,"E. C. English, Ralph Houston, Irv Griffin, Helen Duncan",4,,Pittsburgh
"Dancers, singers, and entertainers including Mamie Hamilton and Gwendolyn Hamilton in first row, James Smith, Juanita Yet, James Coles, Velma Woodbury Carey, Ethel Childs, Floyd Rawlings in middle row, and John Wanamaker, Marcella Wilson, Letitia Goode, Stanley Tucker, Harriet Courar in rear, gathered for Dilettantes group program in Centre Avenue YMCA with Henry O. Tanner painting ""Christ and His Mother"" on wall", , , , ,"Mamie Hamilton, Gwendolyn Hamilton, James Smith, Juanita Yet, James Coles, Velma Woodbury Carey, Ethel Childs, Floyd Rawlings, John Wanamaker, Marcella Wilson, Letitia Goode, Stanley Tucker, Harriet Courar, Henry O. Tanner, Christ",15,Dilettantes,,Centre,"Mamie Hamilton, Gwendolyn Hamilton, James Smith, Juanita Yet, James Coles, Velma Woodbury Carey, Ethel Childs, Floyd Rawlings, John Wanamaker, Marcella Wilson, Letitia Goode, Stanley Tucker, Harriet Courar, Henry O. Tanner, Christ",15,Centre Avenue YMCA,
"Portrait of Alma Thoms wearing two piece floral bathing suit, posed on swimming pool ladder at Ammon Recreation Center", , , , ,Alma Thoms,1,,,Portrait,Alma Thoms,1,Ammon Recreation Center,
"Seven men and six women, members of Centre Avenue YMCA roller skating club, posed in line in Y gymnasium", , , , ,,0,Centre Avenue,,Y,,0,Centre Avenue YMCA,
"Portrait of baby Cheryl Banks wearing calico dress and seated on ottoman, in Banks home, 1838 Centre Avenue, Hill District", , , , ,"Cheryl Banks, Hill District",2,Centre Avenue,,"Portrait, Banks","Cheryl Banks, Hill District",2,,Centre Avenue
"Man, possibly Congressman Arthur W. Mitchell standing on porch of his estate, Dinwiddie County, Virginia", , , , ,Dinwiddie County,1,Congressman Arthur,,"Man, Virginia",Arthur W. Mitchell,1,,"Dinwiddie County, Virginia"
"Four women and eight children, including two boys on right wearing dark shorts, posed in yard next to school building", , , , ,,0,,,,,0,,
"Barbara Jackson, Rosa Jones, and Thomas Woods posed with bicycles and roller skates, in Hill City, vertical format", , , , ,"Barbara, Jackson, Rosa Jones, Thomas Woods, Hill City",5,,,,"Barbara Jackson, Rosa Jones, Thomas Woods",3,,Hill City
"Group portrait of fifteen women, including Antoinette Jones fourth from right, standing in courtroom with wood panels, American flag, and door on right", , , , ,Antoinette Jones,1,,,"Group, American",Antoinette Jones,1,,
"""Hollywood Make-Up Man"" Harry L. Warner applying makeup with powder brush to woman, possibly Betty Tibbs, wearing suit jacket with handkerchief, seated in chair with two women watching, one with plaid jacket, posed in interior with floral wallpaper, picture on wall, and Hollywood Make-Up Studio case in background, another version", , , , ,"Hollywood, Harry L. Warner, Betty Tibbs, Hollywood",4,,,,"Harry L. Warner, Betty Tibbs",2,,Hollywood
"""Hollywood Make-Up Man"" Harry L. Warner using brush to apply makeup to woman wearing dark short sleeved dress, in interior with wooden doors and floor lamp", , , , ,"Hollywood, Harry L. Warner",2,,,,Harry L. Warner,1,,
"Arthur Harris, Major Ponder, Grace Smith, and Peter Hotzidais or Hatzidais, standing before Alderman Harris Fitzgerald, another version", , , , ,"Arthur, Major Ponder, Grace Smith, Peter Hotzidais, Hatzidais, Alderman Harris Fitzgerald",6,,,Harris,"Arthur Harris, Grace Smith, Peter Hotzidais, Alderman Harris Fitzgerald",4,Major Ponder,
"Dr. E. A. Selby wearing dark suit and ribbon on lapel, standing at microphone in Ebenezer AME Church for AME General Conference, Detroit", , , , ,Detroit,1,AME,,Ebenezer,E. A. Selby,1,,"Ebenezer AME Church, Detroit"
"Group portrait of four ministers wearing dark vestments, including Reverend Allen on right, posed in Ebenezer AME Church during AME General Conference, Detroit, another version", , , , ,Reverend Allen,1,AME,,"Group, Ebenezer, Detroit",Allen,1,Ebenezer AME Church,Detroit
"Children enacting traffic court on stage, with boy standing at Judge's bench, and girls and boys wearing crossing guard sashes seated on left, in McKelvey or Miller School", , , , ,Miller School,1,"Judge, McKelvey",,Children,McKelvey,1,Miller School,
"Men, and women, including Mrs. Talbot in center, and some wearing bathing suits and caps, gathered around three girls wearing grass skirt and leis, including Mamie Hamilton in ballet shoes posed en pointe, for ""Water Ballet"" performance at Centre Avenue YMCA indoor swimming pool, another version", , , , ,"Mamie Hamilton, Water Ballet",2,Centre Avenue,,Men,"Talbot, Mamie Hamilton",2,Centre Avenue YMCA,
"Groom Ralph Warner White wearing morning suit, and bride Ruth Goode White wearing long sleeved gown, posed in front of curtains and ferns in Clark Memorial Baptist Church, Homestead", , , , ,"Groom, Ralph Warner, Ruth Goode, Clark Memorial Baptist Church, Homestead",5,,,,"Ralph Warner White, Ruth Goode White, Homestead",3,,Clark Memorial Baptist Church
"Group portrait of Dunbar Dramatic Club members including E. Kemp, Mable Brice, Florence Hardy, Luvenia Adams, Maggie Gibson, Lucille Barnes, Leola Scott, O. Munden and Mary B. Greene, standing around small table with cake and flowers for Sixth Anniversary, in East End Elks, Lincoln Avenue", , , , ,"Dunbar Dramatic Club, Mable Brice, Florence Hardy, Luvenia Adams, Maggie Gibson, Lucille Barnes, Leola Scott, Mary B. Greene, Sixth Anniversary, Lincoln Avenue",10,,,"Group, East","E. Kemp, Mable Brice, Florence Hardy, Luvenia Adams, Maggie Gibson, Lucille Barnes, Leola Scott, O. Munden, Mary B. Greene",9,Dunbar Dramatic Club,Lincoln Avenue
"Five women, Grace Redd wearing dark dress with spaghetti straps, cross necklace, and corsage, and five men, seated at table with cake and candles, in interior with dark trimmed doors", , , , ,Grace Redd,1,,,,Grace Redd,1,,
"Portrait of Mrs. Black wearing eyeglasses with chain, dark long sleeved dress trimmed with fringe, and diamond shaped brooch, seated in armchair holding open book, in domestic interior with part of another room showing, possibly dining room", , , , ,,0,,,Portrait,Black,1,,
"Group of women, including Phyllis Washington, Louise Farrish, Ruth Williams seated on left wearing long light colored dress with dark striped trim, Fanetta Nelson, Pauline Bolden, Marjorie Stephens, Marie Woods, and Mazie Wells, seated at tables in Loendi Club for Wynona Graves annual dinner for LaSalle students and friends", , , , ,"Phyllis Washington, Louise Farrish, Ruth Williams, Fanetta Nelson, Pauline Bolden, Marjorie Stephens, Marie Woods, Mazie Wells, Wynona Graves",9,LaSalle,,Loendi Club,"Phyllis Washington, Louise Farrish, Ruth Williams, Fanetta Nelson, Pauline Bolden, Marjorie Stephens, Marie Woods, Mazie Wells, Wynona Graves",9,,Loendi Club
"Men, including one on right wearing overcoat, and women, gathered around tables in Norse Room in Fort Pitt Hotel for hotel employee Christmas party", , , , ,,0,"Fort Pitt Hotel, Christmas",,"Men, Norse Room",,0,,Fort Pitt Hotel
Helen Tolliver and Leon Reis standing in front of Dr. Ralph Bunche display in Carnegie Library, , , , ,"Helen, Leon Reis, Ralph Bunche",3,Tolliver,,Carnegie,"Helen Tolliver, Leon Reis, Ralph Bunche",3,,Carnegie Library
Members of Herron Hill and Westinghouse swim teams posed during junior high school swimming meet at Allegheny High School, , , , ,Herron Hill,1,"Westinghouse, Allegheny High School",,,Herron Hill,1,"Westinghouse, Allegheny High School",
